dataset,seed,method,auc_roc,neg_brier,cv_lambda
fri_c3_500_50,2,Coopetitive-CV,0.8816809465524277,-0.12812770551371488,0.9
fri_c3_500_50,2,Shapley,0.8975928192574459,-0.12672580241459522,0.9
fri_c3_500_50,2,Shapley+SII,0.8816809465524276,-0.12832706727018037,0.9
fri_c3_500_50,2,Best-Single,0.8922888616891065,-0.13481199741363525,0.9
fri_c3_500_50,2,Stacking,0.9020807833537331,-0.11962207625650467,
fri_c3_500_50,3,Equal,0.8678090575275399,-0.16289162948471125,0.5
fri_c3_500_50,3,Perf-Weighted,0.9028967768257853,-0.13884622972034052,0.5
fri_c3_500_50,3,Individual-Only,0.9028967768257853,-0.13884622972034052,0.5
fri_c3_500_50,3,Interaction-Only,0.7731538147694818,-0.19527069872650654,0.5
fri_c3_500_50,3,Coopetitive-0.5,0.9130966952264381,-0.12027784617920732,0.5
fri_c3_500_50,3,Coopetitive-CV,0.9130966952264381,-0.12027784617920732,0.5
fri_c3_500_50,3,Shapley,0.9167686658506732,-0.12030168030684006,0.5
fri_c3_500_50,3,Shapley+SII,0.9110567115463076,-0.11676418534580582,0.5
fri_c3_500_50,3,Best-Single,0.9184006527947777,-0.1184750646352768,0.5
fri_c3_500_50,3,Stacking,0.9151366789065688,-0.11763790108122821,
fri_c3_500_50,4,Equal,0.8792329661362709,-0.1576809897256611,0.5
fri_c3_500_50,4,Perf-Weighted,0.9208486332109344,-0.13027094837980746,0.5
fri_c3_500_50,4,Individual-Only,0.9208486332109344,-0.13027094837980746,0.5
fri_c3_500_50,4,Interaction-Only,0.7600979192166463,-0.19830814901138166,0.5
fri_c3_500_50,4,Coopetitive-0.5,0.9318645450836393,-0.104300063305619,0.5
fri_c3_500_50,4,Coopetitive-CV,0.9318645450836393,-0.104300063305619,0.5
fri_c3_500_50,4,Shapley,0.9343125254997959,-0.10682822678579025,0.5
fri_c3_500_50,4,Shapley+SII,0.9257445940432476,-0.09959152813586208,0.5
fri_c3_500_50,4,Best-Single,0.941656466748266,-0.09646277129650116,0.5
fri_c3_500_50,4,Stacking,0.9322725418196655,-0.11459423716954803,
fri_c3_500_10,0,Equal,0.9259259259259258,-0.1317241722102918,0.8
fri_c3_500_10,0,Perf-Weighted,0.9339774557165861,-0.1234330350575545,0.8
fri_c3_500_10,0,Individual-Only,0.9339774557165861,-0.1234330350575545,0.8
fri_c3_500_10,0,Interaction-Only,0.8442028985507246,-0.17449339419798215,0.8
fri_c3_500_10,0,Coopetitive-0.5,0.9408212560386473,-0.10600746068552665,0.8
fri_c3_500_10,0,Coopetitive-CV,0.9420289855072463,-0.10456261252220003,0.8
fri_c3_500_10,0,Shapley,0.9359903381642511,-0.1166834674724154,0.8
fri_c3_500_10,0,Shapley+SII,0.9351851851851852,-0.13263950572275726,0.8
fri_c3_500_10,0,Best-Single,0.9438405797101449,-0.10599374999999998,0.8
fri_c3_500_10,0,Stacking,0.9190821256038647,-0.1090784182375518,
fri_c3_500_10,1,Equal,0.92914653784219,-0.12726177685285156,0.8
fri_c3_500_10,1,Perf-Weighted,0.9480676328502415,-0.11278985348560955,0.8
fri_c3_500_10,1,Individual-Only,0.9480676328502415,-0.11278985348560955,0.8
fri_c3_500_10,1,Interaction-Only,0.8200483091787439,-0.1816595855319577,0.8
fri_c3_500_10,1,Coopetitive-0.5,0.9673913043478262,-0.08335727341225224,0.8
fri_c3_500_10,1,Coopetitive-CV,0.967391304347826,-0.08252097724908854,0.8
fri_c3_500_10,1,Shapley,0.961352657004831,-0.09879422057775582,0.8
fri_c3_500_10,1,Shapley+SII,0.962157809983897,-0.07892921106901243,0.8
fri_c3_500_10,1,Best-Single,0.9653784219001611,-0.0951685,0.8
fri_c3_500_10,1,Stacking,0.9653784219001611,-0.07394970880764333,
fri_c3_500_10,2,Equal,0.9339774557165862,-0.12110357668171813,0.6
fri_c3_500_10,2,Perf-Weighted,0.9549114331723028,-0.10222622240112342,0.6
fri_c3_500_10,2,Individual-Only,0.9549114331723028,-0.10222622240112342,0.6
fri_c3_500_10,2,Interaction-Only,0.8111916264090178,-0.18216379239265915,0.6
fri_c3_500_10,2,Coopetitive-0.5,0.9714170692431563,-0.07368775015632308,0.6
fri_c3_500_10,2,Coopetitive-CV,0.9714170692431563,-0.07286280749097415,0.6
fri_c3_500_10,2,Shapley,0.965780998389694,-0.08380916517120632,0.6
fri_c3_500_10,2,Shapley+SII,0.9673913043478262,-0.07009628891168744,0.6
fri_c3_500_10,2,Best-Single,0.9752415458937198,-0.09068024999999999,0.6
fri_c3_500_10,2,Stacking,0.9770531400966185,-0.05820015003441485,
fri_c3_500_10,3,Equal,0.9424315619967794,-0.11602923436244605,0.0
fri_c3_500_10,3,Perf-Weighted,0.9569243156199677,-0.09480052676485878,0.0
fri_c3_500_10,3,Individual-Only,0.9569243156199677,-0.09480052676485878,0.0
fri_c3_500_10,3,Interaction-Only,0.822463768115942,-0.1777658322749053,0.0
fri_c3_500_10,3,Coopetitive-0.5,0.9714170692431562,-0.06992769112086981,0.0
fri_c3_500_10,3,Coopetitive-CV,0.9718196457326891,-0.07273452232388265,0.0
fri_c3_500_10,3,Shapley,0.9690016103059582,-0.07575471967866282,0.0
fri_c3_500_10,3,Shapley+SII,0.9681964573268921,-0.06557602407123228,0.0
fri_c3_500_10,3,Best-Single,0.9714170692431561,-0.06054646521806717,0.0
fri_c3_500_10,3,Stacking,0.9770531400966183,-0.05534629562290783,
fri_c3_500_10,4,Equal,0.9456521739130435,-0.11937942273977659,1.0
fri_c3_500_10,4,Perf-Weighted,0.9585346215780999,-0.10725045647206391,1.0
fri_c3_500_10,4,Individual-Only,0.9585346215780999,-0.10725045647206391,1.0
fri_c3_500_10,4,Interaction-Only,0.8458132045088567,-0.17141687115626408,1.0
fri_c3_500_10,4,Coopetitive-0.5,0.9722222222222222,-0.08288194752187106,1.0
fri_c3_500_10,4,Coopetitive-CV,0.97061191626409,-0.0851902316782822,1.0
fri_c3_500_10,4,Shapley,0.9677938808373592,-0.09540854243918365,1.0
fri_c3_500_10,4,Shapley+SII,0.9677938808373591,-0.08329105266204605,1.0
fri_c3_500_10,4,Best-Single,0.9692028985507247,-0.09492749999999997,1.0
fri_c3_500_10,4,Stacking,0.9549114331723026,-0.0922794767491847,
fri_c1_500_50,0,Equal,0.8036932958651145,-0.18438434437649998,0.9
fri_c1_500_50,0,Perf-Weighted,0.8879967884383781,-0.14148489199205472,0.9
fri_c1_500_50,0,Individual-Only,0.8879967884383781,-0.14148489199205472,0.9
fri_c1_500_50,0,Interaction-Only,0.6924929747089522,-0.22498980907080526,0.9
fri_c1_500_50,0,Coopetitive-0.5,0.8984343637093537,-0.12719837203596288,0.9
fri_c1_500_50,0,Coopetitive-CV,0.9000401445202729,-0.12344605410346592,0.9
fri_c1_500_50,0,Shapley,0.9096748293857888,-0.12066889445295079,0.9
fri_c1_500_50,0,Shapley+SII,0.8992372541148133,-0.12378530264190606,0.9
fri_c1_500_50,0,Best-Single,0.9205138498594942,-0.1208401471376419,0.9
fri_c1_500_50,0,Stacking,0.9096748293857888,-0.11473775903281767,
fri_c1_500_50,1,Equal,0.7856570512820512,-0.19208256243689217,0.0
fri_c1_500_50,1,Perf-Weighted,0.8433493589743589,-0.15474886255506243,0.0
fri_c1_500_50,1,Individual-Only,0.8433493589743589,-0.15474886255506243,0.0
fri_c1_500_50,1,Interaction-Only,0.655849358974359,-0.2413568140228724,0.0
fri_c1_500_50,1,Coopetitive-0.5,0.8669871794871794,-0.13673882594769124,0.0
fri_c1_500_50,1,Coopetitive-CV,0.8641826923076922,-0.14064060001061945,0.0
fri_c1_500_50,1,Shapley,0.8906250000000001,-0.13018557495727884,0.0
fri_c1_500_50,1,Shapley+SII,0.8665865384615385,-0.13690075396882964,0.0
fri_c1_500_50,1,Best-Single,0.889823717948718,-0.13890334963798523,0.0
fri_c1_500_50,1,Stacking,0.9258814102564102,-0.12894201819209936,
fri_c1_500_50,2,Equal,0.8462464873544762,-0.17191204897911264,1.0
fri_c1_500_50,2,Perf-Weighted,0.9241268566840626,-0.13430406445556264,1.0
fri_c1_500_50,2,Individual-Only,0.9241268566840626,-0.13430406445556264,1.0
fri_c1_500_50,2,Interaction-Only,0.690887193898033,-0.22181909727386895,1.0
fri_c1_500_50,2,Coopetitive-0.5,0.9393817743877961,-0.10190828601265628,1.0
fri_c1_500_50,2,Coopetitive-CV,0.9373745483741469,-0.09643265374273272,1.0
fri_c1_500_50,2,Shapley,0.9502207948615015,-0.10125635072089095,1.0
fri_c1_500_50,2,Shapley+SII,0.9369731031714171,-0.09621154764994831,1.0
fri_c1_500_50,2,Best-Single,0.9494179044560418,-0.08984965085983276,1.0
fri_c1_500_50,2,Stacking,0.9622641509433962,-0.08771708704723163,
fri_c1_500_50,3,Equal,0.8783621035728623,-0.16679371688811448,0.0
fri_c1_500_50,3,Perf-Weighted,0.9409875551987154,-0.13345885705029759,0.0
fri_c1_500_50,3,Individual-Only,0.9409875551987154,-0.13345885705029759,0.0
fri_c1_500_50,3,Interaction-Only,0.7390606182256121,-0.20613830005270187,0.0
fri_c1_500_50,3,Coopetitive-0.5,0.9349658771577679,-0.1106457203708624,0.0
fri_c1_500_50,3,Coopetitive-CV,0.9421918908069048,-0.11978168949926754,0.0
fri_c1_500_50,3,Shapley,0.9361702127659575,-0.10784815865013928,0.0
fri_c1_500_50,3,Shapley+SII,0.9285427539140907,-0.10630173051603635,0.0
fri_c1_500_50,3,Best-Single,0.9221196306704135,-0.10590546578168869,0.0
fri_c1_500_50,3,Stacking,0.9365716579686872,-0.19415454985577044,
fri_c1_500_50,4,Equal,0.8920112404656765,-0.16667863839546876,2.0
fri_c1_500_50,4,Perf-Weighted,0.9193095142513047,-0.14157850819108975,2.0
fri_c1_500_50,4,Individual-Only,0.9193095142513047,-0.14157850819108975,2.0
fri_c1_500_50,4,Interaction-Only,0.7442794058611,-0.20972905260743754,2.0
fri_c1_500_50,4,Coopetitive-0.5,0.9357687675632276,-0.10202452790611068,2.0
fri_c1_500_50,4,Coopetitive-CV,0.9104777197912485,-0.13473213677843668,2.0
fri_c1_500_50,4,Shapley,0.9337615415495785,-0.1104683658669497,2.0
fri_c1_500_50,4,Shapley+SII,0.9305499799277399,-0.09542386763088928,2.0
fri_c1_500_50,4,Best-Single,0.9433962264150944,-0.09100976586341858,2.0
fri_c1_500_50,4,Stacking,0.9249297470895222,-0.19822914129698152,
fri_c4_500_100,0,Equal,0.8788249694002448,-0.15793285104718227,0.9
fri_c4_500_100,0,Perf-Weighted,0.9412484700122399,-0.11045159244728588,0.9
fri_c4_500_100,0,Individual-Only,0.9412484700122399,-0.11045159244728588,0.9
fri_c4_500_100,0,Interaction-Only,0.7503059975520195,-0.2045239777256565,0.9
fri_c4_500_100,0,Coopetitive-0.5,0.9510403916768666,-0.08945053016729984,0.9
fri_c4_500_100,0,Coopetitive-CV,0.952672378620971,-0.08392647947882549,0.9
fri_c4_500_100,0,Shapley,0.9616483068135454,-0.08342987269508102,0.9
fri_c4_500_100,0,Shapley+SII,0.9506323949408405,-0.08449102449995864,0.9
fri_c4_500_100,0,Best-Single,0.9624643002855977,-0.07591795921325684,0.9
fri_c4_500_100,0,Stacking,0.9600163198694409,-0.10349285347979757,
fri_c4_500_100,1,Equal,0.8351693186454507,-0.1748245701574573,0.5
fri_c4_500_100,1,Perf-Weighted,0.8824969400244798,-0.14765811950726612,0.5
fri_c4_500_100,1,Individual-Only,0.8824969400244798,-0.14765811950726612,0.5
fri_c4_500_100,1,Interaction-Only,0.6915544675642595,-0.220008926224013,0.5
fri_c4_500_100,1,Coopetitive-0.5,0.894328845369237,-0.12063714644457482,0.5
fri_c4_500_100,1,Coopetitive-CV,0.894328845369237,-0.12063714644457482,0.5
fri_c4_500_100,1,Shapley,0.8955528355773154,-0.12175676311300149,0.5
fri_c4_500_100,1,Shapley+SII,0.8975928192574458,-0.11825208974371484,0.5
fri_c4_500_100,1,Best-Single,0.9024887800897592,-0.111687570810318,0.5
fri_c4_500_100,1,Stacking,0.9114647082823337,-0.11029183655323012,
fri_c4_500_100,2,Equal,0.7531619747042024,-0.19920977542734533,0.9
fri_c4_500_100,2,Perf-Weighted,0.8070175438596492,-0.17325662439055706,0.9
fri_c4_500_100,2,Individual-Only,0.8070175438596492,-0.17325662439055706,0.9
fri_c4_500_100,2,Interaction-Only,0.6279069767441862,-0.2408599712357535,0.9
fri_c4_500_100,2,Coopetitive-0.5,0.8702570379436965,-0.13849433001736075,0.9
fri_c4_500_100,2,Coopetitive-CV,0.8710730314157488,-0.13780402745822093,0.9
fri_c4_500_100,2,Shapley,0.8698490412076704,-0.14275770345191405,0.9
fri_c4_500_100,2,Shapley+SII,0.8661770705834353,-0.13871467428720702,0.9
fri_c4_500_100,2,Best-Single,0.8996328029375765,-0.13460677862167358,0.9
fri_c4_500_100,2,Stacking,0.8637290901672786,-0.1497169752417301,
fri_c4_500_100,3,Equal,0.8159934720522236,-0.16911818084655308,0.2
fri_c4_500_100,3,Perf-Weighted,0.8584251325989393,-0.14136966655845662,0.2
fri_c4_500_100,3,Individual-Only,0.8584251325989393,-0.14136966655845662,0.2
fri_c4_500_100,3,Interaction-Only,0.729906160750714,-0.2036031010614431,0.2
fri_c4_500_100,3,Coopetitive-0.5,0.8690330477356181,-0.12832965625083098,0.2
fri_c4_500_100,3,Coopetitive-CV,0.8706650346797224,-0.1323956617929413,0.2
fri_c4_500_100,3,Shapley,0.8808649530803754,-0.1251126103724465,0.2
fri_c4_500_100,3,Shapley+SII,0.8653610771113832,-0.12618422973042415,0.2
fri_c4_500_100,3,Best-Single,0.9028967768257854,-0.1287095546722412,0.2
fri_c4_500_100,3,Stacking,0.8943288453692371,-0.11918554202276545,
fri_c4_500_100,4,Equal,0.8408812729498164,-0.16845344885969532,0.8
fri_c4_500_100,4,Perf-Weighted,0.9290085679314565,-0.12462982520445327,0.8
fri_c4_500_100,4,Individual-Only,0.9290085679314565,-0.12462982520445327,0.8
fri_c4_500_100,4,Interaction-Only,0.6629946960424317,-0.22242125781856129,0.8
fri_c4_500_100,4,Coopetitive-0.5,0.9543043655650755,-0.08773094244134319,0.8
fri_c4_500_100,4,Coopetitive-CV,0.9575683394532843,-0.08177077425521347,0.8
fri_c4_500_100,4,Shapley,0.9596083231334149,-0.08517746138365619,0.8
fri_c4_500_100,4,Shapley+SII,0.956344349245206,-0.0818582107725516,0.8
fri_c4_500_100,4,Best-Single,0.9698082415340676,-0.06613972783088684,0.8
fri_c4_500_100,4,Stacking,0.9408404732762137,-0.08161021317785025,
fri_c1_500_5,0,Equal,0.9838969404186796,-0.07463993051936976,0.8
fri_c1_500_5,0,Perf-Weighted,0.9834943639291465,-0.0691177578342815,0.8
fri_c1_500_5,0,Individual-Only,0.9834943639291465,-0.0691177578342815,0.8
fri_c1_500_5,0,Interaction-Only,0.9247181964573269,-0.14058547173666494,0.8
fri_c1_500_5,0,Coopetitive-0.5,0.9830917874396136,-0.06189079320881828,0.8
fri_c1_500_5,0,Coopetitive-CV,0.9842995169082126,-0.059061827142068195,0.8
fri_c1_500_5,0,Shapley,0.9830917874396136,-0.06649471021703378,0.8
fri_c1_500_5,0,Shapley+SII,0.9484702093397746,-0.13010355132258133,0.8
fri_c1_500_5,0,Best-Single,0.9818840579710144,-0.06425251066684723,0.8
fri_c1_500_5,0,Stacking,0.9830917874396136,-0.1335402711603743,
fri_c1_500_5,1,Equal,0.9385788839823364,-0.10639448543961118,0.8
fri_c1_500_5,1,Perf-Weighted,0.9446005620232838,-0.100939571211308,0.8
fri_c1_500_5,1,Individual-Only,0.9446005620232838,-0.100939571211308,0.8
fri_c1_500_5,1,Interaction-Only,0.8309915696507427,-0.1704417398253003,0.8
fri_c1_500_5,1,Coopetitive-0.5,0.9482135688478524,-0.09510554308762555,0.8
fri_c1_500_5,1,Coopetitive-CV,0.9462063428342031,-0.09777673692411908,0.8
fri_c1_500_5,1,Shapley,0.9458048976314734,-0.09871614999086917,0.8
fri_c1_500_5,1,Shapley+SII,0.8442392613408269,-0.16650475567826942,0.8
fri_c1_500_5,1,Best-Single,0.9518265756724207,-0.10027638077735901,0.8
fri_c1_500_5,1,Stacking,0.9446005620232838,-0.15403225189793995,
fri_c1_500_5,2,Equal,0.9766505636070854,-0.0809555296544915,0.0
fri_c1_500_5,2,Perf-Weighted,0.9794685990338164,-0.07371718863533461,0.0
fri_c1_500_5,2,Individual-Only,0.9794685990338164,-0.07371718863533461,0.0
fri_c1_500_5,2,Interaction-Only,0.8719806763285024,-0.1627058439524833,0.0
fri_c1_500_5,2,Coopetitive-0.5,0.9818840579710145,-0.06336393761440377,0.0
fri_c1_500_5,2,Coopetitive-CV,0.9818840579710145,-0.06490691135493011,0.0
fri_c1_500_5,2,Shapley,0.9810789049919485,-0.0711673315907217,0.0
fri_c1_500_5,2,Shapley+SII,0.8788244766505637,-0.16051123135291007,0.0
fri_c1_500_5,2,Best-Single,0.9380032206119163,-0.09607488215721732,0.0
